脑室外引流术	External Ventricular Drain
图2.笔者在处理这个额叶中央旁动静脉畸形的供血动脉时，不可避免的损伤到了临近的主要引流静脉（位于双极镊尖）。	Figure 2: I inadvertently injured the primary vein during coagulation of the nearby feeding arteries (at the tip of bipolar forceps) of this paramedian frontal AVM.
此时，半球内供血动脉还未进行处理。	The interhemispheric feeders were still untouched at the time of this event.
在没有其他修补方式可选时，笔者误将主要引流静脉进行了电凝。	I mistakenly coagulated the primary vein as no other repair option was deemed available.
这一操作导致了动静脉畸形破裂和猛烈的出血。	This unfortunate maneuver led to massive rupture of the AVM and torrential bleeding.
图3. 颞叶外侧相对较小的动静脉畸形，与前方的静脉相连（第一排）。	Figure 3: A relatively small lateral temporal AVM associated with an arterialized vein of Labbe underwent resection (first row).
动静脉畸形的脑表展示；主要的引流静脉包裹着畸形血管团，在切除畸形血管团的过程中不可避免的受到了损伤（第二排）。	The surface anatomy of the AVM is shown; during dissection of the nidus, the dominant draining vein that was wrapping around the nidus was inadvertently injured (second row).
动静脉畸形被迅速的切除，以避免过度出血及颅内出血（第三排）。	The AVM was removed immediately to avoid excessive bleeding and development of intracerebral hemorrhage (last row).
请观看本章开头相关视频及相应的处理方式。	Please see the corresponding video at the beginning of this chapter for subsequent management strategies.
对供血动脉的三维病理解剖学的认识十分重要。	A clear understanding of the three-dimensional pathoanatomy of the dominant feeding arteries is pertinent for their timely exclusion.
显微镜的口内控制器在手术中起着重要的作用，无需用手柄来控制显微镜。	The mouthpiece of the microscope plays a key role in the chain of events because I can quickly maneuver the scope with no need to use the scope handles.
快速、有效的切除动静脉畸形是必要的。此外，术者还应保持冷静、果敢，掌控手术进程。	A “commando” operation with the goal of efficiently removing the AVM is necessary, and the surgeon must remain calm, decisive, and in control.
出血不应该吓倒外科医生，出血就只是出血。	Bleeding should not overwhelm the surgeon; it is only bleeding.
成功的处理动静脉畸形的术中破裂需要成熟的外科医生做出正确的抉择。	Successful execution of the decisive operative maneuvers during IOR is required for the maturity of every AVM surgeon.
此外，成功的突击操作会增加外科医生处理复杂动静脉畸形的信心。	Moreover, the successful completion of the commando operation augments the confidence of the surgeon for managing complex AVMs.
最后的想法	Final Thoughts
有些医生可以力挽狂澜，有些医生洞察变化，有些医生还不知道发生了什么。	Some surgeons make things happen, some surgeons watch things happen, and some surgeons wonder what happened.
在动静脉畸形术中破裂时，我们都想成为那个能够力挽狂澜的医生。	To save the patient during an AVM’s IOR, we all want to be the surgeon who makes things happen.
巨大侵袭性垂体腺瘤	Giant and Multicompartmental Pituitary Adenomas
巨大垂体腺瘤通常指肿瘤直径大于4cm，一般距离Monro孔6mm内。	Giant pituitary adenomas are usually described as tumors larger than 4 cm that generally extend within 6 mm of the foramen of Monro.
据报道其占手术病例的5%至14%。	They are reported in 5% to 14% of surgical pituitary tumor series.
巨大垂体腺瘤的组织学特性与肿瘤大小及侵袭性无关，多为良性。	The histologic characteristics of giant pituitary adenomas do not correlate with their size or invasive nature; most of these tumors contain benign cells.
大多数巨大垂体腺瘤需要手术切除，特别巨大的泌乳素腺瘤除外，因为其对多巴胺受体激动药物治疗有较高的反应和消退恢复的几率。	Most giant pituitary adenomas require surgical excision. An exception to this rule is the rare giant prolactinoma, which has a high rate of response and regression with dopamine agonist therapy.
在上世纪，巨大垂体腺瘤的手术经历了从伴有高风险的经颅肉眼手术，到显微镜开颅手术，最终到经鼻内镜经蝶手术的演变，改善了病人预后。	Over the last century, surgery for giant pituitary adenomas has evolved from transcranial macrosurgical techniques associated with significant morbidity to transcranial microsurgical techniques, and ultimately to endonasal endoscopic transsphenoidal approaches with improved patient outcomes.
然而，经验不足者，经鼻入路可能无法全切肿瘤，尤其是巨大垂体腺瘤。	However, in inexperienced hands, the transnasal approaches can potentially result in subtotal resection of pituitary tumors and especially the giant ones.
残留的肿瘤能引起术后出血，导致失明和丘脑功能障碍等不可逆的神经功能恶化。	The residual tumor can induce a postoperative apoplectic event, leading to irreversible neurologic deterioration including blindness and thalamic dysfunction.
有多种分类系统用来描述侵袭性垂体腺瘤。	Many classification systems have been used to describe multicompartmental pituitary adenomas.
Yasargil把其分为4个亚型：1. 鞍上-视交叉上型：肿瘤生长超过蝶骨平台上2cm且在视交叉前；2. 鞍上-鞍后型：肿瘤长入脚间池；3. 鞍旁-海绵窦型：肿瘤侵入海绵窦；4. 全面浸润型：肿瘤向各个方向生长。	Yasargil classified those tumors into four subgroups: 1) suprasellar-suprachiasmatic: tumors that grow more than 2 cm above the planum sphenoidale and in front of the chiasm, 2) suprasellar-retrosellar: tumors that extend into the interpenduncular cisterns, 3) parasellar-cavernous: tumors that extend into the cavernous sinuses, and 4) paninvasive: tumors that extend in all directions.
类似的，Hardy最初将肿瘤分为四种类型：a. 向视交叉池生长的肿瘤；b. 向三脑室生长的肿瘤；c. 向Monroe孔生长的肿瘤；d. 向前、中颅底生长的肿瘤。	Similarly, Hardy initially classified tumors into four types: (A) tumors with extension into chiasmatic cisterns, (B) tumors with extension into the third ventricle, (C) tumors with extension toward the foramen of Monroe, and (D) tumors extending into the anterior or middle cranial fossae.
之后，改良Hardy分类法，把c型改为长入三脑室达到3cm的肿瘤，而d型为肿瘤长入三脑室大于3cm，超过Monroe孔；并且这两型肿瘤至少达到蝶轭上2cm，才能诊断为巨大垂体腺瘤。	A modified Hardy classification was subsequently constructed in which grade C tumors with 3 cm of extension into the third ventricle and grade D tumors with more than 3 cm of extension beyond the foramen of Monroe, each with at least 2 cm of extension superior to the jugum sphenoidale, were considered giant macroadenomas.
